,Weekend Box Office Results Jan 7 - Jan 9 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
9,Ladder 49,"428,077",BVI,,1,332,"428,077",
10,The Incredibles,"420,971",BVI,-30,10,408,"31,589,223",
11,A Very Long Engagement,"312,042",Warner,,1,121,"312,042",
12,National Treasure,"259,043",BVI,-53,5,240,"7,054,178",
13,Without a Paddle,"169,995",UIP,-49,4,178,"2,408,438",
14,Alexander,"146,950",Warner,-72,3,176,"2,583,849",
15,Vera Drake,"126,521",Momentum,-35,3,65,"925,838",
,Total,"8,965,056",,,,"4,090","78,869,970",
,,,,,,,,
16,The Phantom of the Opera,"117,379",Entertainment,-56,7,131,"8,711,965",
17,Vanity Fair,"101,160",UIP,-51,2,121,"44,189",
19,House of Flying Daggers,"93,986",Pathe,-60,5,99,"3,410,695",
21,Dear Frankie,"57,214",Pathe,,1,60,"57,214",
23,Bridget Jones: The Edge of Reason,"44,837",UIP,-58,11,48,"35,954,611",
26,The Merchant of Venice,"20,466",Optimum,-49,8,28,"837,658",
28,Ladies in Lavender,"20,216",Entertainment,-34,11,39,"3,082,120",
30,Finding Neverland,"17,686",BVI,69,13,54,"3,492,198",
34,My House in Umbria,"6,946",Momentum,726,9,7,"91,626",
38,Enduring Love,"4,007",Pathe,-44,9,5,"680,395",
41,The Motorcycle Diaries,"3,497",Pathe,22,22,5,"2,721,043",
64,My Summer of Love,20,Contentfilm,-99,14,1,"486,988",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 10% down on last weekend, and is 18% down on the same week last year",,,,,,,
,,,,,,,,
,It ranks 25th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for Ray includes £28,221 from 195 previews",,,,,,,
,,,,,,,,
,The increase without previews for Closer is 8%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Jan 28 - Jan 30 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Meet the Fockers,"7,917,661",UIP,,1,456,"7,917,661",
2,Closer,"913,603",Sony,-42,3,331,"5,792,036",
3,Assault on Precinct 13,"748,846",Entertainment,,1,321,"748,846",
4,The Aviator,"625,383",BVI,-32,6,322,"5,821,350",
5,Team America: World Police,"485,992",UIP,-56,3,313,"4,314,630",
6,Creep,"477,687",Pathe,,1,194,"477,687",
7,Million Dollar Baby,"449,896",Entertainment,-45,3,266,"2,888,286",
8,Sideways,"349,642",20th Fox,,1,72,"349,642",
9,White Noise,"344,480",Entertainment,-64,4,299,"6,073,393",
10,Ray,"287,435",UIP,-41,2,221,"1,019,545",
11,The Incredibles,"265,207",BVI,-37,11,397,"31,900,893",
12,Elektra,"253,174",20th Fox,-68,2,329,"1,303,703",
13,Lemony Snicket's A Series of Unfortunate Events,"244,853",UIP,-45,7,398,"13,006,088",
14,A Very Long Engagement,"231,458",Warner,-26,2,121,"735,679",
15,Vera Drake,"82,134",Momentum,-35,4,63,"1,119,060",
,Total,"13,677,451",,,,"4,103","83,468,499",
,,,,,,,,
20,The Phantom of the Opera,"32,098",Entertainment,-73,8,48,"8,840,597",
21,2046,"28,447",Tartan,-48,3,24,"252,804",
22,Vanity Fair,"25,864",UIP,-74,3,34,"542,123",
23,House of Flying Daggers,"25,361",Pathe,-73,6,45,"3,461,638",
25,Alexander,"21,025",Warner,-86,4,21,"2,679,152",
28,Dear Frankie,"13,357",Pathe,-77,2,28,"101,353",
29,The Merchant of Venice,"13,159",Optimum,-36,9,18,"881,390",
32,Finding Neverland,"9,425",BVI,-47,14,12,"3,519,692",
34,Ladies in Lavender,"8,583",Entertainment,-58,12,21,"3,130,362",
38,Enduring Love,"5,529",Pathe,38,10,6,"693,141",
50,My House in Umbria,"1,195",Momentum,-83,10,4,"105,452",
59,My Summer of Love,372,Contentfilm,1760,15,12,"487,360",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 53% up on last weekend, and is 50% up on the same week last year",,,,,,,
,,,,,,,,
,It ranks 6th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for Meet the Fockers includes £684,892 from 419 previews",,,,,,,
,,,,,,,,
,"The figure for Sideways includes £8,316 from 26 previews",,,,,,,
,,,,,,,,
,The fall-off rate without previews for Ray is 37%,,,,,,,
,,,,,,,,
,Weekend Box Office Results Feb 4 - Feb 6 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Meet the Fockers,"4,588,360",UIP,-42,2,456,"15,481,678",
2,Ocean's Twelve,"3,394,100",Warner,,1,450,"3,394,100",
3,Racing Stripes,"1,145,965",Momentum,,1,394,"1,145,965",
4,Closer,"513,241",Sony Pictures,-44,4,331,"6,775,404",
5,Sideways,"401,522",20th Fox,15,2,88,"988,827",
6,The Aviator,"374,574",BVI,-40,7,288,"6,560,129",
7,Assault on Precinct 13,"352,005",Entertainment,-53,2,301,"1,453,189",
8,Creep,"319,785",Pathe,-33,2,195,"1,067,291",
9,Million Dollar Baby,"248,635",Entertainment,-45,4,242,"3,358,096",
10,Team America: World Police,"173,371",UIP,-64,4,226,"4,688,765",
11,Ray,"158,360",UIP,-45,3,179,"1,386,696",
12,The Incredibles,"120,234",BVI,-55,12,313,"32,039,321",
13,A Very Long Engagement,"109,062",Warner,-53,3,70,"996,874",
14,White Noise,"104,756",Entertainment,-70,5,183,"6,316,395",
15,Lemony Snicket's A Series of Unfortunate Events,"92,472",UIP,-62,8,265,"13,114,720",
,Total,"12,096,442",,,,"3,981","98,767,450",
,,,,,,,,
17,Vera Drake,"69,336",Momentum,-16,5,68,"1,282,712",
20,The Phantom of the Opera,"20,993",Entertainment,-35,9,29,"8,902,665",
21,2046,"18,949",Tartan,-33,4,18,"292,596",
24,Vanity Fair,"12,370",UIP,-52,4,17,"582,818",
27,House of Flying Daggers,"10,286",Pathe,-59,7,22,"3,486,508",
31,The Merchant of Venice,"8,611",Optimum,-35,10,10,"914,213",
32,Finding Neverland,"8,099",BVI,-14,15,15,"3,535,736",
35,Alexander,"4,381",Warner,-79,5,7,"2,696,052",
36,Dear Frankie,"4,039",Pathe,-70,3,4,"117,101",
40,Ladies in Lavender,"3,062",Entertainment,-64,13,10,"3,158,478",
45,Enduring Love,"2,247",Pathe,-59,11,14,"704,312",
47,My Summer of Love,"1,654",Contentfilm,345,16,7,"489,627",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 12% down on last weekend, but 39% up on the same weekend last year",,,,,,,
,,,,,,,,
,It ranks 9th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The fall-off rate without previews for ""Meet the Fockers"" is 37%",,,,,,,
,,,,,,,,
,"The figure for without previews for ""Sideways"" increases by 18%",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Feb 11 - Feb 13 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Meet the Fockers,"2,957,466",UIP,-36,3,456,"20,052,876",
2,Ocean's Twelve,"2,132,196",Warner,-37,2,451,"6,897,580",
3,The Magic Roundabout,"1,569,843",Pathe,,1,425,"1,569,843",
4,The SpongeBob SquarePants Movie,"1,252,322",UIP,,1,440,"1,252,322",
5,Racing Stripes,"789,231",Momentum,-31,2,399,"2,249,718",
6,Son of the Mask,"725,524",Entertainment,,1,328,"725,524",
7,Closer,"377,711",Sony Pictures,-26,5,315,"7,431,669",
8,Sideways,"334,773",20th Fox,-17,3,103,"1,564,300",
9,The Aviator,"288,005",BVI,-23,8,259,"7,063,449",
10,Creep,"217,593",Pathe,-32,3,190,"1,444,846",
11,Million Dollar Baby,"186,020",Entertainment,-25,5,213,"3,688,147",
12,Assault on Precinct 13,"182,197",Entertainment,-48,3,228,"1,816,451",
13,Ray,"106,620",UIP,-33,4,128,"1,592,017",
14,The Sea Inside,"89,507",Entertainment,,1,73,"89,507",
15,Vera Drake,"75,161",Momentum,8,6,65,"1,447,099",
,Total,"11,284,169",,,,"4,073","58,885,348",
,,,,,,,,
22,White Noise,"47,606",Entertainment,-55,6,96,"6,409,618",
26,2046,"14,714",Tartan,-22,5,15,"323,802",
29,The Phantom of the Opera,"11,599",Entertainment,-45,10,17,"8,934,520",
31,Vanity Fair,"10,226",UIP,-17,5,19,"607,412",
33,House of Flying Daggers,"7,573",Pathe,-26,8,14,"3,503,854",
34,The Merchant of Venice,"7,308",Optimum,-15,11,10,"932,678",
35,Finding Neverland,"6,943",BVI,-14,16,8,"3,551,436",
41,Dear Frankie,"3,383",Pathe,-16,4,5,"124,591",
45,Alexander,"2,324",Warner,-48,6,4,"2,702,181",
59,My Summer of Love,519,Contentfilm,-69,17,1,"493,522",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 7% down on last weekend, but 11% up on the same weekend last year",,,,,,,
,,,,,,,,
,It ranks 12th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for The Magic Roundabout includes £575,665 from 369 previews",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Feb 18 - Feb 20 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Meet the Fockers,"1,893,131",UIP,-36,4,454,"24,694,973",
2,Ocean's Twelve,"1,328,115",Warner,-38,3,406,"10,281,251",
3,The Magic Roundabout,"1,149,933",Pathe,-27,2,426,"4,476,776",
4,The SpongeBob SquarePants Movie,"1,126,635",UIP,-10,2,438,"4,098,548",
5,Shall We Dance?,"1,080,140",BVI,,1,409,"1,080,140",
6,Are We There Yet?,"887,814",Sony Pictures,,1,230,"887,814",
7,Racing Stripes,"856,242",Momentum,8,3,409,"4,688,620",
8,Son of the Mask,"695,388",Entertainment,-4,2,329,"2,517,840",
9,In Good Company,"594,316",Entertainment,,1,305,"594,316",
10,Sideways,"369,800",20th Fox,10,4,162,"2,202,375",
11,The Aviator,"234,755",BVI,-18,9,221,"7,578,878",
12,Closer,"202,349",Sony Pictures,-46,6,247,"7,968,183",
13,Creep,"117,192",Pathe,-46,4,142,"1,728,375",
14,Million Dollar Baby,"99,192",Entertainment,-47,6,121,"3,924,817",
15,Laura's Star,"96,452",Warner,42,2,158,"332,341",
,Total,"10,731,454",,,,"4,457","77,055,247",
,,,,,,,,
16,Vera Drake,"84,822",Momentum,13,7,81,"1,652,395",
33,The Merchant of Venice,"10,952",Optimum,50,12,11,"964,762",
34,Vanity Fair,"10,322",UIP,,6,11,"633,529",
36,White Noise,"9,742",Entertainment,-80,7,28,"6,452,286",
37,Finding Neverland,"9,568",BVI,38,17,36,"3,568,201",
39,2046,"8,469",Tartan,-42,6,9,"343,537",
41,The Phantom of the Opera,"5,962",Entertainment,-49,11,10,"8,956,040",
43,House of Flying Daggers,"5,295",Pathe,-30,9,10,"3,515,389",
48,Alexander,"3,872",Warner,67,7,5,"2,710,686",
51,Dear Frankie,"2,620",Pathe,-23,5,6,"130,459",
60,My Summer of Love,774,Contentfilm,49,18,2,"494,857",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 5% down on last weekend, but 20% up on the same weekend last year",,,,,,,
,,,,,,,,
,It ranks 13th out of the last 52 weeks,,,,,,,
,,,,,,,,
,The increase without previews for The Magic Roundabout is 15%,,,,,,,
,,,,,,,,
,"The figure for Shall We Dance? includes £229,560 from 362 from 362 previews",,,,,,,
,,,,,,,,
,"The figure for Are We There Yet? includes £95,350 from 189 previews",,,,,,,
,,,,,,,,
,"The figure for In Good Company includes £51,274 from 244 previews",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Feb 25 - Feb 27 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Hide and Seek,"1,594,508",20th Fox,,1,345,"1,594,508",
2,Meet the Fockers,"1,035,103",UIP,-45,5,415,"26,317,132",
3,Ocean's Twelve,"651,764",Warner,-51,4,346,"11,422,858",
4,Shall We Dance?,"643,995",BVI,-40,2,406,"2,262,721",
5,Are We There Yet?,"587,711",Sony Pictures,-34,2,232,"1,672,108",
6,The SpongeBob SquarePants Movie,"553,928",UIP,-51,3,426,"4,840,795",
7,The Magic Roundabout,"534,778",Pathe,-53,3,423,"5,200,794",
8,Coach Carter,"469,062",UIP,,1,180,"469,062",
9,The Life Aquatic with Steve Zissou,"455,722",BVI,1316,2,207,"502,041",
10,Racing Stripes,"381,608",Momentum,-55,4,399,"5,214,705",
11,Spanglish,"308,414",Sony Pictures,,1,335,"308,414",
12,Son of the Mask,"298,348",Entertainment,-57,3,322,"2,928,158",
13,Sideways,"274,905",20th Fox,-26,5,165,"2,676,546",
14,In Good Company,"227,838",Entertainment,-62,2,291,"1,074,695",
15,The Aviator,"189,488",BVI,-19,10,193,"7,885,636",
,Total,"8,207,172",,,,"4,685","74,370,173",
,,,,,,,,
17,Closer,"102,225",Sony Pictures,-50,7,163,"8,174,805",
18,Hotel Rwanda,"81,476",Entertainment,,1,17,"81,476",
19,Vera Drake,"69,721",Momentum,-18,8,82,"1,810,409",
25,Creep,"33,938",Pathe,-71,5,82,"1,813,727",
32,The Merchant of Venice,"12,589",Optimum,15,13,12,"1,000,540",
33,Finding Neverland,"8,512",BVI,-11,18,40,"3,582,828",
35,2046,"6,921",Tartan,-18,7,9,"357,058",
36,House of Flying Daggers,"6,235",Pathe,18,10,10,"3,527,257",
38,Vanity Fair,"5,108",UIP,-51,7,13,"653,534",
41,The Phantom of the Opera,"3,936",Entertainment,-34,12,4,"8,968,600",
45,Alexander,"3,243",Warner,-16,8,5,"2,716,798",
54,My Summer of Love,"1,098",Contentfilm,42,19,3,"496,297",
,,,,,,,,
,Comments,,,,,,,
,"The weekend is 24% down on last weekend, but 10% up on the same weekend last year",,,,,,,
,,,,,,,,
,It ranks 34th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for Hide and Seek includes £109,500 from 270 previews",,,,,,,
,,,,,,,,
,The fall-off rate without previews for Shall We Dance? is 24%,,,,,,,
,,,,,,,,
,The fall-off rate without previews for Are We There Yet? is 26%,,,,,,,
,,,,,,,,
,"The figure for Spanglish includes £24,657 from 251 previews",,,,,,,
,,,,,,,,
,The fall-off rate without previews for In Good Company is 58%,,,,,,,
,,,,,,,,
,Weekend Box Office Results Mar 4 - Mar 6 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Boogeyman,"788,439",UIP,,1,318,"788,439",
2,Hide and Seek,"674,674",20th Fox,-58,2,350,"2,917,557",
3,Meet the Fockers,"647,542",UIP,-37,6,365,"27,346,857",
4,Shall We Dance?,"395,146",BVI,-39,3,334,"3,109,267",
5,Hotel Rwanda,"381,604",Entertainment,368,2,215,"507,596",
6,Are We There Yet?,"372,421",Sony Pictures,-37,3,230,"2,168,233",
7,Ocean's Twelve,"321,352",Warner,-51,5,257,"12,030,148",
8,Million Dollar Baby,"311,859",Entertainment,420,8,246,"4,431,570",
9,Coach Carter,"308,187",UIP,-34,2,181,"1,005,991",
10,The SpongeBob SquarePants Movie,"294,126",UIP,-47,4,430,"5,198,356",
11,The Flight of the Phoenix,"292,012",20th Fox,,1,270,"292,012",
12,Harold & Kumar Get the Munchies,"284,050",Icon,,1,285,"284,050",
13,The Magic Roundabout,"278,633",Pathe,-48,4,414,"5,538,781",
14,The Life Aquatic with Steve Zissou,"275,646",BVI,-40,3,175,"1,057,864",
15,Racing Stripes,"199,702",Momentum,-48,5,381,"5,449,904",
,Total,"5,825,393",,,,"4,451","72,126,625",
,,,,,,,,
26,Vera Drake,"35,272",Momentum,-49,9,78,"1,922,937",
29,Closer,"29,909",Sony Pictures,-71,8,52,"8,266,934",
36,The Merchant of Venice,"6,728",Optimum,-47,14,8,"1,018,295",
38,Creep,"6,162",Pathe,-82,6,35,"1,838,537",
39,Finding Neverland,"5,247",BVI,-38,19,9,"3,592,444",
42,House of Flying Daggers,"3,368",Pathe,-46,11,5,"3,534,346",
43,2046,"2,974",Tartan,-57,8,5,"364,336",
44,Vanity Fair,"2,775",UIP,-46,8,9,"663,066",
45,The Phantom of the Opera,"2,191",Entertainment,-44,13,5,"8,977,630",
47,Alexander,"1,878",Warner,-42,9,2,"2,721,904",
,,,,,,,,
,Comments,,,,,,,
,The weekend is 29% down on last weekend and 11% down on the same weekend last year,,,,,,,
,,,,,,,,
,It ranks 49th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The fall-off rate without previews for ""Hide and Seek"" is 55%",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Mar 11 - Mar 13 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Hitch,"4,230,857",Sony Pictures,7894,2,448,"4,309,540",
2,Hostage,"807,171",Entertainment,,1,329,"807,171",
3,Boogeyman,"381,016",UIP,-52,2,318,"1,532,722",
4,Meet the Fockers,"305,627",UIP,-53,7,297,"27,892,636",
5,Hide and Seek,"238,181",20th Fox,-65,3,309,"3,321,053",
6,Hotel Rwanda,"199,503",Entertainment,-48,3,219,"930,847",
7,Are We There Yet?,"197,629",Sony Pictures,-47,4,225,"2,435,770",
8,Million Dollar Baby,"178,587",Entertainment,-43,9,226,"4,793,265",
9,Shall We Dance?,"153,210",BVI,-61,4,243,"3,545,971",
10,The SpongeBob SquarePants Movie,"144,053",UIP,-51,5,367,"5,364,336",
11,The Chorus,"132,636",Pathe,,1,64,"132,636",
12,The Magic Roundabout,"130,678",Pathe,-53,5,347,"5,692,742",
13,Coach Carter,"115,926",UIP,-62,3,154,"1,244,153",
14,The Life Aquatic with Steve Zissou,"113,485",BVI,-59,4,122,"1,323,544",
15,Racing Stripes,"97,107",Momentum,-51,6,330,"5,562,401",
,Total,"7,425,666",,,,"3,998","68,888,787",
,,,,,,,,
18,9 Songs,"71,081",Optimum,,1,28,"71,081",
23,House of Flying Daggers,"47,063",Pathe,1297,12,52,"3,586,251",
31,Vera Drake,"14,131",Momentum,-60,10,47,"1,991,743",
33,Closer,"10,430",Sony Pictures,-65,9,23,"8,300,848",
36,The Merchant of Venice,"7,257",Optimum,8,15,16,"1,032,295",
41,Finding Neverland,"3,892",BVI,-26,20,4,"3,603,932",
44,2046,"2,219",Tartan,-25,9,6,"368,881",
64,Dead of Night (RE),20,BFI,-86,11,1,"12,210",
,,,,,,,,
,Comments,,,,,,,
,The weekend is 27% up on last weekend and 15% up on the same weekend last year,,,,,,,
,,,,,,,,
,It ranks 40th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for Hitch includes £919,010 from 409 previews",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Mar 18 - Mar 20 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Robots,"2,622,253",20th Fox,,1,474,"2,622,253",
2,Hitch,"2,241,337",Sony Pictures,-47,3,449,"8,055,523",
3,Constantine,"2,098,074",Warner,,1,353,"2,098,074",
4,Hostage,"569,530",Entertainment,-29,2,328,"1,880,385",
5,Pooh's Heffalump Movie,"160,736",BVI,,1,399,"160,736",
6,Boogeyman,"157,421",UIP,-59,3,252,"1,871,867",
7,Meet the Fockers,"148,882",UIP,-51,8,208,"28,180,107",
8,Hotel Rwanda,"104,917",Entertainment,-47,4,119,"1,176,930",
9,Darkness,"102,154",BVI,,1,242,"102,154",
10,The Chorus,"93,893",Pathe,-29,2,66,"314,511",
11,Are We There Yet?,"93,563",Sony Pictures,-53,5,208,"2,576,030",
12,Million Dollar Baby,"89,311",Entertainment,-50,10,113,"5,006,435",
13,Shall We Dance?,"88,824",BVI,-42,5,191,"3,776,565",
14,Hide and Seek,"88,312",20th Fox,-63,4,209,"3,655,188",
15,5x2,"72,621",UGC,,1,16,"72,621",
,Total,"8,731,828",,,,"3,627","61,549,379",
,,,,,,,,
20,The Magic Roundabout,"34,739",Pathe,-73,6,206,"5,739,101",
21,9 Songs,"34,128",Optimum,-52,2,28,"153,590",
27,House of Flying Daggers,"14,729",Pathe,-69,13,34,"3,633,368",
30,Don't Move,"9,405",Dogwoof Pictures,,1,6,"9,405",
34,Closer,"8,669",Sony Pictures,-17,10,12,"8,317,401",
35,Vera Drake,"8,529",Momentum,-40,11,26,"2,031,625",
40,The Merchant of Venice,"5,135",Optimum,-29,16,9,"1,049,392",
46,2046,"2,190",Tartan,-1,10,6,"374,024",
47,Ladies in Lavender,"2,184",Entertainment,8,19,14,"3,223,861",
55,Dead of Night (RE),641,BFI,3105,12,1,"12,851",
64,Caravaggio (RE),195,BFI,-86,2,1,"3,104",
,,,,,,,,
,Comments,,,,,,,
,The weekend is 18% up on last weekend and 6% up on the same weekend last year,,,,,,,
,,,,,,,,
,It ranks 28th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for Robots includes £1,072,104 from 458 previews",,,,,,,
,,,,,,,,
,The fall-off rate without previews for Hitch is 33%,,,,,,,
,,,,,,,,
,"The figure for Constantine includes £619,799 from 311 previews",,,,,,,
,,,,,,,,
,"The figure for Pooh's Heffalump Movie includes £7,632 from 37 previews",,,,,,,
,,,,,,,,
,"The figure for 5x2 includes £4,295 from 5 previews",,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Mar 25 - Mar 27 2005 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Sites,Box office  to date,
1,Hitch,"1,660,358",Sony Pictures,-26,4,450,"11,165,657",
2,Robots,"1,477,980",20th Fox,-44,2,487,"5,210,119",
3,Miss Congeniality 2,"1,302,070",Warner,,1,380,"1,302,070",
4,Valiant,"1,096,329",Entertainment,,1,403,"1,096,329",
5,Constantine,"983,393",Warner,-53,2,352,"4,383,132",
6,Hostage,"460,173",Entertainment,-19,3,310,"2,772,313",
7,Pooh's Heffalump Movie,"189,892",BVI,18,2,409,"473,553",
8,Melinda and Melinda,"129,257",20th Fox,,1,53,"129,257",
