Title,Distr
Nacho Libre,UIP
Kabhi Alvida Na Kehna,Yash Raj
Lady in the Water,Warner
Tideland,Revolver
Wilderness,Momentum
Alpha Male,Verve
The Third Man (RE),Optimum
Snakes on a Plane,Entertainment
John Tucker Must Die,20th Fox
Harsh Times,Pathe
A Scanner Darkly,Warner
"You, Me and Depree ",UIP
Severance ,Pathe
Volver,Pathe
Little Man ,Sony 
The Wicker Man ,Lionsgate
The Sentinel,20th Fox
Crank,UIP
Adrift,Pathe 
Lage Raho Munnabhai,Eros
Odd Man Out (RE),Park Circus
"You, Me and Dupree ",UIP
Right at your Door,Lionsgate
Little Miss Sunshine,20th Fox
Pulse,UIP
Beerfest,Warner
Monster House,Sony 
Severance,Pathe
Snow Cake,Momentum
Driving Lessons,Tartan
Odd Man Out (re),Park Circus
Talledega Nights: The Ballad of Ricky Bobby,Sony 
The Queen,Pathe
The Black Dahlia,Entertainment
The Night Listener,Icon
DOA,UIP
Right at your Door,Lions Gate
The Children of Men,UIP
Little Man,Sony 
Trust the Man,Icon
Dirty Sanchez,Pathe
Clerks II,UIP
An Inconvenient Truth,UIP
Click,Sony 
Hoodwinked,Momentum
World Trade Centre,UIP
Children of Men,UIP
Life and Lyrics,UIP
The Devil Wears Prada,20th Fox
The Departed,Entertainment
Accepted,UIP
Isolation,Lions Gate
Nina's Heavenly Delights,Verve
Open Season,Sony 
History Boys,20th Fox
Texas Chainsaw Massacre: The Beginning,Entertainment
Stick It,BVI
Barnyard: The Original Party Animals,UIP
The Guardian,BVI
The Grudge 2,UIP
The Last Kiss,Momentum
Don,UTV
Marie Antoinette,Sony 
Brothers of the Head,Tartan
Saw III,Lions Gate UK
Step Up,UIP
The History Boys,20th Fox
A Good Year,20th Fox
Red Road,Verve
Gypo,Lions Gate
Snuff-Movie,Lions Gate
Borat ,20th Fox
Sixty Six ,UIP
Little Children ,Entertainment
Umrao Jaan ,Adlabs 
Mischief Night,Verve
The Page Turner ,Artifical Eye 
Scenes of a Sexual Nature ,Miracle 
Romanzo Criminale ,Icon
The Prestige,Warner Bros
Saw III,Lions Gate
Breaking & Entering,Buena Vista
Starter for Ten,Icon
Umrao Jaan ,Adlabs
Casino Royale,Sony 
The Prestige,Warner
Saw III,LionsGate
Breaking & Entering,BVI
Hoodwinked,Sony 
Vivah,Adlabs
A Tiger's Tale,BVI
Joy Division,Miracle 
The Santa Clause 3,BVI
Tenacious D,Entertainment
Jackass 2,UIP
Dhoom 2,Yash Raj
Pan's Labyrinth,Optimum
Hollywoodland,BVI
Sixty Six,UIP
Flushed Away,UIP
Deck the Halls,20th Fox
Stranger than Fiction,Sony 
Big Nothing,Pathe
Nightmare Before Christmas 3-D,BVI
London to Brighton,Vertigo
Happy Feet,Warner
The Holiday,UIP
Baabul,Adlabs
The Covenant,Sony 
The Nativity Story,Entertainment
Bugsy Malone (re),Park Circus
Eragon,20th Fox
Déjà Vu,BVI
Black Christmas,Pathe
Grounded,Warner
Kabul Express,Yash Raj
The Wizard of Oz (re),BFI
Deep Water,Pathe
The West Wittering Affair,Yeh Yeh Yeh
The Dead (re),Park Circus
Bhagam Bhaag,Venus
Flags of Our Fathers ,Warner
