,Weekend Box Office Results Jan 6 - Jan 8 2006 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Site Avg,Sites,Box office  to date
1,King Kong,"2,160,421",UIP,-19,4,"4,567",473,"26,080,026"
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2,132,346",BVI,-29,5,"4,361",489,"38,280,667"
3,Just Friends,"1,750,481",Momentum,,1,"5,074",345,"1,750,481"
4,Brokeback Mountain,"987,261",Entertainment,,1,"7,898",125,"987,261"
5,Just Like Heaven,"934,650",UIP,-22,2,"3,105",301,"3,506,691"
6,Cheaper by the Dozen,"781,725",20th Fox,-66,2,"2,369",330,"4,176,372"
7,Match Point,"751,992",Icon,,1,"5,785",130,"751,992"
8,Harry Potter and the Goblet of Fire,"582,984",Warner,-30,8,"1,690",345,"47,550,475"
9,The Producers,"402,356",Sony,-69,2,"1,190",338,"2,386,993"
10,March of the Penguins,"381,926",Warner,254,5,"2,372",161,"1,413,566"
11,Running Scared,"275,498",Entertainment,,1,"1,275",216,"275,498"
12,Lassie,"99,600",Entertainment,-23,4,521,191,"1,135,982"
13,Dosti,"65,846",Tip Top,-50,3,"1,829",36,"707,326"
14,The Constant Gardener,"63,415",UIP,30,9,"1,441",44,"4,768,730"
15,The Family Stone,"61,144",20th Fox,-42,4,"1,002",61,"1,121,693"
,Total,"11,431,645",,,,"3,189","  3,585 ","134,893,753"
,,,,,,,,
16,Mrs Henderson Presents,"47,012",Pathe,138,7,940,50,"3,053,417"
20,Nanny McPhee,"14,618",UIP,-33,12,298,49,"16,475,969"
22,Wallace and Gromit: The Curse of the Were-Rabbit,"12,232",UIP,-41,13,322,38,"31,992,513"
29,Where the Truth Lies,"5,986",Momentum,176,6,665,9,"209,081"
31,Mad Hot Ballroom,"4,897",Metrodome,333,7,544,9,"101,225"
34,Howl's Moving Castle,"3,471",Optimum,460,16,85,41,"826,996"
35,Merry Christmas (Joyeux Noel),"2,678",Sony,-71,4,536,5,"104,423"
39,Innocence,"1,566",Artificial Eye,320,15,522,3,"60,921"
42,Oliver Twist,985,Pathe,300,14,493,2,"2,534,459"
43,Tickets,939,Artificial Eye,-35,6,939,1,"28,847"
49,Broken Flowers,400,Momentum,121,12,400,1,"1,922,692"
,,,,,,,,
,Comments,,,,,,,
,"The weekend is down 5% on last weekend, and is 18% up on the same week last year",,,,,,,
,,,,,,,,
,It ranks 15th out of the last 52 weeks,,,,,,,
,,,,,,,,
,"The figure for 'Just Friends' includes £180,896 from 206 previews",,,,,,,
,,,,,,,,
,"The figure for 'Brokeback Mountain' includes £109,492 from 1 preview",,,,,,,
,,,,,,,,
,The fall off without previews for 'Just Like Heaven' is 0%,,,,,,,
,,,,,,,,
,The fall off without Mon/Thu for 'Cheaper by the Dozen 2' is 9%,,,,,,,
,,,,,,,,
,"The figure for 'Match Point' includes £75,805 from 111 previews",,,,,,,
,,,,,,,,
,The fall off without Mon/Thu for 'The Producers' is 20%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Weekend Box Office Results Jan 13 - Jan 15 2006 - United Kingdom,,,,,,,
,,,,,,,,
,Title,Gross,Distr,% chg,Week #,Site Avg,Sites,Box office  to date
1,Jarhead,"1,927,987",UIP,,1,"4,944",390,"1,927,987"
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","1,370,174",BVI,-36,6,"2,934",467,"40,341,293"
3,Just Friends,"1,281,997",Momentum,-27,2,"3,611",355,"3,685,832"
4,Brokeback Mountain,"1,279,878",Entertainment,30,2,"4,654",275,"2,843,944"
5,King Kong,"1,276,498",UIP,-41,5,"2,921",437,"28,097,262"
6,Memoirs of a Geisha,"1,147,056",BVI,,1,"4,760",241,"1,147,056"
7,Just Like Heaven,"619,330",UIP,-34,3,"2,107",294,"4,537,254"
8,Cheaper by the Dozen,"584,855",20th Fox,-25,3,"1,746",335,"4,928,955"
9,Match Point,"437,960",Icon,-42,2,"2,881",152,"1,509,714"
10,Harry Potter and the Goblet of Fire,"337,673",Warner,-42,9,"1,141",296,"48,080,285"
11,March of the Penguins,"308,895",Warner,-19,6,"1,895",163,"1,938,969"
12,Breakfast on Pluto,"199,154",Pathe,,1,"2,096",95,"199,154"
13,Cry Wolf,"196,093",Optimum,,1,"1,371",143,"196,093"
14,The Producers,"134,180",Sony,-67,3,706,190,"2,718,068"
15,Running Scared,"98,253",Entertainment,-64,2,514,191,"535,330"
,Total,"11,199,983",,,,"2,783","  4,024 ","142,687,196"
,,,,,,,,
16,Lassie,"72,878",Entertainment,-27,5,388,188,"1,218,669"
17,The Constant Gardener,"52,256",UIP,-18,10,"1,066",49,"4,877,911"
20,Mrs Henderson Presents,"39,106",Pathe,-17,8,798,49,"3,184,970"
26,Nanny McPhee,"13,444",UIP,-8,13,299,45,"16,490,034"
28,Wallace and Gromit: The Curse of the Were-Rabbit,"10,566",UIP,-14,14,294,36,"32,004,959"
32,The Truth,"6,614",Guerilla Films,,1,"1,323",5,"6,614"
34,Rize,"5,019",Redbus,-32,3,386,13,"37,852"
35,Howl's Moving Castle,"3,584",Optimum,3,17,94,38,"830,867"
40,Mad Hot Ballroom,"1,936",Metrodome,-61,8,484,4,"107,169"
42,Merry Christmas (Joyeux Noel),"1,869",Sony,-30,5,312,6,"109,835"
43,Broken Flowers,"1,833",Momentum,358,13,458,4,"1,927,132"
44,Tickets,"1,770",Artificial Eye,89,7,590,3,"31,017"
45,Where the Truth Lies,"1,568",Momentum,-74,7,784,2,"213,939"
49,Familia Rodante,825,Artificial Eye,,9,413,2,"18,904"
54,Oliver Twist,539,Pathe,-45,15,90,6,"2,537,302"
55,Sophie Scholl,528,ICA Projects,-17,12,528,1,"71,238"
57,Innocence,371,Artificial Eye,-76,16,186,2,"62,570"
58,Black Narcissus (RE),169,BFI,,24,169,1,"29,828"
,,,,,,,,
,Comments,,,,,,,
